Experiment-series,Dataset-name,Experiment-name,count,testing/ensemble_3/accuracy_top_1-epoch-mean,testing/ensemble_3/accuracy_top_5-epoch-mean,testing/ensemble_3/aps-macro,testing/ensemble_3/auc-macro,testing/ensemble_3/bs-macro,testing/ensemble_3/image_to_text_accuracy-epoch-mean,testing/ensemble_3/image_to_text_accuracy_top_5-epoch-mean,testing/ensemble_3/text_to_image_accuracy-epoch-mean,testing/ensemble_3/text_to_image_accuracy_top_5-epoch-mean
hades,dtextfs,hades-dtextfs-resnext50-32x4d-a1-in1k,1,0.6893824934959412,,,,,,,,
hades,f101,hades-f101-efficientnetv2-rw-s-ra2-in1k,3,79.28712717692058,94.56738026936848,,,,,,,
hades,nycc,hades-nycc-wide-resnet50-2-tv-in1k,1,,,,,,0.00820195209234953,0.04100976139307022,0.00820195209234953,0.04100976139307022
hades,chx,hades-chx-laion-vit-base16-224,1,,,0.569297601709465,0.7859489704756115,0.1769991684531872,,,,
hades,cubfs,hades-cubfs-resnext50-32x4d-a1-in1k,1,0.9407641887664796,,,,,,,,
hades,clvrmath,hades-clvrmath-resnet50-a1-in1k,1,14.934003829956056,61.709617614746094,,,,,,,
hades,f101,hades-f101-wide-resnet50-2-tv-in1k,2,65.2509708404541,87.4315299987793,,,,,,,
hades,in1k,hades-in1k-efficientnetv2-rw-s-ra2-in1k,2,77.71539306640625,92.80810165405273,,,,,,,
hades,dr,hades-dr-deit3-base-patch16-224-fb-in1k,1,,,0.4951841904054839,0.8069325467847674,0.08717683814096815,,,,
hades,in1k,hades-in1k-dino-vit-base16-224,2,69.23973083496094,89.51047134399414,,,,,,,
hades,chx,hades-chx-resnet50-a1-in1k,1,,,0.5581783132053605,0.7882904384001674,0.17590155210570185,,,,
hades,pokeset,hades-pokeset-clip-vit-base16-224,1,,,,,,0.6984953880310059,0.8942900896072388,0.7342785596847534,0.9267939925193788
hades,stl10,hades-stl10-clip-vit-base16-224,2,96.89360046386719,99.89459609985352,,,,,,,
hades,winogr,hades-winogr-talip-base16-wita-0-1337,1,,,,,,0.40347224473953247,1.0,0.5016666650772095,1.0
hades,stl10,hades-stl10-laion-vit-base16-224,1,95.79612731933594,99.90079498291016,,,,,,,
hades,c100,hades-c100-clip-vit-base16-224,2,49.80318832397461,76.68655776977539,,,,,,,
hades,f101,hades-f101-clip-vit-base16-224,2,90.03302764892578,98.30137252807617,,,,,,,
