,,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_5-epoch-mean,validation/accuracy_top_5-epoch-mean,validation/accuracy_top_5-epoch-mean
,,mean,std,count,mean,std,count
Task,Name,,,,,,
in1k,deit3-base-patch16-224-fb,93.01616668701172,0.16003286101455738,3,98.63874371846516,0.04814327815231828,3
in1k,clip-vit-base16,81.27013651529948,1.1455674531012774,3,96.0662727355957,0.39905852342267184,3
in1k,augreg-vit-base16-224,91.23631625705293,0.17510794355534257,3,98.44364081488716,0.0949434891806322,3
p365,witp-base16,56.79140472412109,0.13435455876499874,3,86.63125101725261,0.07036541122389155,3
p365,wide-resnet50-2-tv,39.38619740804037,2.4898337149441803,3,71.2898432413737,2.4613885477089603,3
p365,sam-vit-base16-224,47.639321645100914,1.1727206972979858,3,79.08099110921223,1.0119819703257213,3
p365,resnext50-32x4d-a1,54.01210975646973,0.16186278006996596,2,84.61601638793945,0.18174530297388916,2
p365,resnet50-a1,52.899478912353516,0.6569396040889265,3,83.8195292154948,0.4148923137862331,3
p365,laion-vit-base16,56.981510162353516,0.1457060165136705,3,86.80520884195964,0.08755996557111083,3
p365,flexivit-base-1200ep,52.00182342529297,3.1940376875976093,3,83.13333384195964,2.5847618533074455,3
p365,efficientnetv2-rw-s-ra2,46.06588617960612,0.5724851216410548,3,78.1335932413737,0.4757333465195758,3
p365,dino-vit-base16,53.388020833333336,0.2695046423754115,3,84.16015879313152,0.16668756910454427,3
p365,deit3-base-patch16-224-fb,50.2132822672526,3.564255948233299,3,81.62109375,3.0590706148794613,3
p365,clip-vit-base16,56.917188008626304,0.08307302989049942,3,86.7546869913737,0.061493765365302086,3
p365,augreg-vit-base16-224,37.39785099029541,17.119441601807445,2,61.23710784316063,27.911380756331283,2
stl10,witp-base16,96.31375885009766,0.6947877946660254,3,99.93489583333333,0.1127637244510998,3
stl10,wide-resnet50-2-tv,79.03421274820964,2.9457666525603114,3,98.07157135009766,0.46866205124270405,3
stl10,sam-vit-base16-224,88.31941477457683,0.6163960561887207,3,98.80791982014973,0.5292376867160962,3
stl10,wits-base16,44.498697916666664,0.13216354592303992,3,85.82188415527344,1.686289553002179,3
stl10,resnext50-32x4d-a1,83.11332448323567,17.145990312538675,3,97.40705871582031,3.6289384822715274,3
stl10,resnet50-a1,89.63496907552083,0.930589120255604,3,99.4140625,0.1953125,3
stl10,dino-vit-base16,94.2349116007487,0.3738318704958067,3,99.73958333333333,0.2983447718070189,3
stl10,flexivit-base-1200ep,98.4375,0.33829117335329634,3,99.8046875,0.0,3
stl10,efficientnetv2-rw-s-ra2,86.90732828776042,0.3405644192883936,3,99.126708984375,0.2963619001828669,3
stl10,deit3-base-patch16-224-fb,97.76625569661458,0.29235581388240695,3,99.8046875,0.0,3
stl10,clip-vit-base16,97.43400065104167,0.7266508513572024,3,99.86979166666667,0.11276372445109673,3
stl10,augreg-vit-base16-224,93.87796274820964,0.29763216692800537,3,99.73958333333333,0.1127637244510998,3
stl10,laion-vit-base16,95.62903849283855,0.1754942405806351,3,99.8046875,0.1953125,3
svhn,wide-resnet50-2-tv,99.16038004557292,0.10462736537650086,3,99.87428029378255,0.03389597061284215,3
svhn,sam-vit-base16-224,98.91792297363281,0.12731060009992612,3,99.77550252278645,0.03390001276480962,3
